ID,Text,binary_label
row_0,همين امروز خيلي ناجور از دستم افتاد،  ولي مثل روز اول کار مي کنه!,1
row_1,واقعا خیلی خوبه ممنون طاقچه آدم موقع خوندن غرق داستان کتاب میشه واقعا قشنگه,1
row_2,حال اگر مالک قصد تهيه کيف براي گوشي داشته باشه کيفي خواهد داشت که از پشتي از دو ناحيه سوراخ است و نماي بسيار بدي ايجاد مي کند.,0
row_3,اصلا فیله مرغ نبود خیلى بد بود,0
row_4,اوه چه قدر نظر هههههههه,0
row_5,"آقای روحانی عصبانی شده از حرفهای مناظره و گفته باید با راستی و درستی با مردم صحبت کنیم!
و اما بخشی از راستی و درستی حسن روحانی:
- آنچنان درآمد سرشار و رونق اقتصادی درست کنم
-احترام را به پاسپورت ایرانی برمیگردانم
- تحریمها یکباره لغو میشوند
-همه چیز را به بورس بسپارید
#دوپینگ",0
row_6,بهترین هات داگی که خوردم مال شیلا بوده عالیه,1
row_7,قشنگ بود,1
row_8,حیف که یک سری سفارش دادم!!!,1
row_9,"۳٫ پشتيباني کامل از سايه‌زني نسخه ۳ براي پردازش بازي‌هاي جديد

۴٫ قابليت پردازش ۴۸ ميليارد دستورالعمل سايه‌زني در ثانيه که توان پردازشي چشم‌گيري را در اجراي بازي‌ها به وجود مي‌آورد.",1
row_10,خیلی ناراضیم ازش همون اوایل دوبار فرستادمش برای تعمیر و هیچ وقت هم اساسی تعمیر نشد نمایندگی مجاز هم نتونست تعمیرش کنه هیچ وقت نخرید هیچ وقت ,0
row_11,پلی استیشن 4 پرو به همراه بازی Call Od Duty ,1
row_12,از کودکی به کرد و کردستان علاقه داشتم  از بس که فقط ازشون صفات و رفتار خوب دیدم و شنیدم  ,1
row_13,سلام اقا فهمیدم . میدونین اون سایه ای که میوفته زمان ورود ب بازیاس و اون سایه همون نوار اعلانه ک تو بازی معلومه پس این مشگلی نداره . و اگرم چنین مشگلی ور دارین ب نمایندگی معتبر الجی برینو رایگان درستش کنین من این مطلبو از یه نفر پرسیدم ک ایا درسته این سایه و بهم نشونش داد . لذت ببرین از این موبایل,1
row_14,وافلش یکم سفت بودبا چاقو برش نمیخورد ولی خیلی خوشمزه بود بسته بندی تمیز و‌مرتب,1
row_15,دم‌تون گرم  ,1
row_16,عزیزی که میگی از داغ کردن دستگاه خبری نیست ....کافیه دوماه با دستگاه کار کنید تا بفهمید بعد از دو ساعت کار کردن دستگاه داغ میکنه! اکثر تبلت های نسل جدید سامسونگ یکی دو ماه اول کارشون همینجورین اما بعدها دچار مشکل میشن!,0
row_17,سفارش دادم هنوز به دستم نرسیده با توجه به نقد بد نیست البته اگه دیجی کالا ارسال ش کنه نقد هم میزارم ,0
row_18,در صورتي که گوشي در يک جاي ثابت قرار بگيره و هيچ لرزشي نداشته باشه فيلهايي با روزولوشن 480×640 را مي تونيد ثبت کنيد که آدم رو ياد گوشهاي 2 مگاپيکسلي مي اندازد ولي اگر در حال حرکت فيلم برداري کنيد اونوقت اوضاع تغيير مي کند و فيلهاي گرفته شده تار مي شوند که قابل ديدن نيست.,0
row_19,بنابراین،  مایکروسافت کاربران را راحت نموده و نوید تایپ با صفحه کلید را بر روی این تبلت به کاربران داده است.,1
row_20,کاش دوربینش حداقل درحد p8 بود,0
row_21,"بادقت بخوانید
♦واکنش صریح رهبر انقلاب به فایل صوتی ظریف
🔹از برخی از مسئولان حرف هایی زده شده که مایه تاسف است.
رسانه های دشمن این حرف هارا پخش کردند.
بعضی از این حرف،تکرار حرف های خصمانه آمریکایی هاست.
🔹آمریکایی ها سال هااز شهید سلیمانی و نفوذ در منطقه ناراحت بودند
#صوت‌ظریف",0
row_22,"طوری که شرکت ها و استارت آپ های ایرانی (#اسنپ_تریپ ) بحران کرونا رو مدیریت کردن (تعدیل و تعلیق حداکثری کارمنداشون) با تمام وجود بابت تک تک لحظاتی که براش وقت گذاشتی به خودت فحش میدی ...
این هم نحوه عبور از بحران به سبک Airbnb: نصف شدن حقوق مدیران ارشد
www.link.com",1
row_23,به نظرم کیفیت خوبی ندارد من دو هفته است خریدم عملا بلا استفاده است  ارتباط 3 5 و 2 5 همراه آن هم اصلا کیفیت خوبی نداشت در اولین بار استفاده شکست  وبا چسب و   درستش کردیم  ,0
row_24,وقتی که به گذشته می پردازید تنها کاری که انجام می دهید تجدید دیدار با بدبختی هاست. ویلیام_گلاسر,0
row_25,"صلح یک روزی آمدنی است، اگر چه دنیا نخواهد.
#StopAfghanWar https://t.co/WltEOPvJVq",1
row_26,از نظر ابعاد و زیبایی عالیه لطفا هرچه زودتر موجودش کنید … ,1
row_27,من تقریبا یک هفته هست که این گوشی رو خریدم   در کل بد نیست ، از لحاظ ظاهری بی نظیره!!! شبیه اثر هنری میمونه اما به نظر میرسه در مقابل ضربه حساس و آسیب پذیر باشه . سرعت عملکرد گوشی خوبه اما نمی دونم چرا کل رم 3.5 گیگ نشودن داده شده که تازه 2 گیگ از اون هم همیشه مشغول هستش اما در عمل خیلی خوب و سریع کار می کنه ! در مورد دکمه هوم هم باید بگم که ، به نظر آسیب پذیر میرسه اما در واقع شما نیازی به این دکمه ندارید !! فوق فوقش آدم بخواد برنامه ای رو ببنده از دکمه بک یا اون یکی استفاده میکنه . کیفیت تصویر فوق العاده است و دوربین هم عالیه !!  در کل : از خرید این گوشی پشیمون نمی شید خیالتون راحت,1
row_28,"جهانگیری گفته شبی که رد صلاحیت شدم تو خونه مون جشن بوده،😅
برای جبران ۸ سال تنبلی وبی تدبیری لیبرالها و نجات کشور از تَکرار زجرآور افسادیون،من هم مثل تمام ایرانیهای وطن دوست،#رای_میدهم
#ما_منتظر_انتخاباتیم https://t.co/WtAQzG9Nf9",1
row_29,وای فرزانه تو رو خدا میترسم. ,0
row_30,کتابای تخصصی دانشگا اینقد گرون نیسن که این گرونه .خاهشا تخفیف..,0
row_31,سایز بزرگ سفارش دادم ولی سایز متوسط بود نه بزرگ,0
row_32,من اين تبلت رو دارم واقعاً عاليه از نظر سرعت و باز شدن صفحات تکه  از نظر امنيت و وارد شدن بهش هم حرف نداره,1
row_33,من این سری رو از دیجی گرفتم 3تا از اونا رو استفاده کردم و هر سه تاش توی اولین استفاده خورد شد و کارم هم راه نیفتاد اصلا پیشنهاد نمیکنم بااینکه برند بوش هست و روی خودِ مته هم حک شده اما متاسفانه اصلا مرغوبیت نداره   ,0
row_34,هزار سال است که دوستت دارم ، به تر و تازگیِ روز نخست ... #مخاطب_خاص,1
row_35,دليل من داغ شدن اون هست و البته داغ شدن سيستم بعد از حدود يک ساعت و خورده اي بازي !,0
row_36,سلام من سه هفته ای هست که این مدل رو خریدم برای انجام کارهای سبک و روزمره عالیه کم صداست و نسبت به قیمتش میارزه واقعا برای بازی هم جواب میده حتمن پیشنهاد میکنم ,1
row_37,دوربين 12 يون اصلا با خيلي از 8 مگاپيکسلي هاي موجود قابل مقايسه نيست، چه عکس چه فيلم!,0
row_38,"اگر خوب کار کرده باشیم، خداوند از جایی که فکرش را نمیکنیم رزق خوب به ما میدهد.
#من_رأی_میدهم https://t.co/m5EkmoK1pi",1
row_39,) که با انتخاب آن‌ها،  برنامه مورد به صورت کوچک شده اجرا می‌شود و شما می‌تواند همزمان با کارهای دیگر،  همیشه این برنامه را بر روی صفحه خود همراه داشته باشید.,1
row_40,همسرتون توییتر نداره این تویتت رو به بینه ؟ ,0
row_41,دو نفر با یه نفر سخته خو ,0
row_42,یکساله خریدم نه از دی جی از بازار خریدم کیفیت خوبی داره  باریکه شیکه قابلیت هاشم به نسبت قیمت خوبه فقط صفحه ال ای دی خیلی حساسه بهتره یه صفحه نمایش دحد صد هزارتومان براش بگیرید به هیچ عنوان در کیفیتش اثری نداره و نور هم منعکس نمیشه ,1
row_43,سلام و عرض خسته نباشید به شرکت دیجی کالا...  من مدتی هست که منتظر موجود کردن این کالا هستم.  ممنون میشم که مدل ترازو BG55 در لیست فروش قرار بدید و به نظر من خیلی ها در انتظار این دستگاه شیک و با قیمت مناسب هستن.  با تشکر.,1
row_44,تو سرمای استخون سوز شهرم با برفی که نمه نمه می بارید؛توی مدرسه با معلم پسرم چند دقیقه کار داشتم،اومدم میبینم فسقلم با چند تا از دوستاش با یه پاکت آبمیوه لِه شده دارن فوتبال بازی میکننآخ که چقدر انرژی دارن،چقدر دنیای کودکانه شون شاد و نابه،چقدر دلم میخواد جاش باشم,1
row_45,هنوز #ارزشی های خائن و وطن فروش شروع به خوشحالی و پایکوبی نکردن بعد از خبر #تحریم_ظریف www.link.com,0
row_46,"QM محترم چرا باید تشویقی را مدت مکالمه کارشناس بذاری که مشترک ناراضی باشه از راهنمایی‌های کارشناس ؟!
#2020 #خدمات_همراه_اول 👎🏻",0
row_47,از لحاظ سرعت و قدرت پردازنده وکارت گرافیک و        خیلی عالیه من دهها نرم افزار طراحی سه بعدی و گرافیکی و برنامه نویسی روش نصب کردم و بدون مشکل داره واسم کار میکنه   مشکل اصلی این مدل کیفیت بد صفحه نمایشه  ولی در کل از خریدم راضی ام  ,1
row_48,من عادت دارم حتی ساعت یک شبم که باشه وقتی حالم خوب نیست آهنگو با صدای بلند تو خونه بدون هندزفری تو تاریکی گوش بدم:) الان دلم میخواس میتونستم نامجو رو بغل کنم! کاش اینستا مثل توییتر بود میشد هر لحظه هر چیزی که دلت خواست رو بنویسی دارم عاشق توییتر میشم:),1
row_49,کیفیت دید از زاویه هم بهترین است.,1
row_50,به هر صورت همان‌طور که گفتیم،  DV300F علاوه بر نمایشگر دوم و Wi-Fi داخلی که به آن‌ها مجهز است،  در کل دوربین بسیار کوچک، بسیار باریک، بسیار سبک، مستحکم و خوش ساختی است.,1
row_51,با آرزوی موفقیت و پیروزی #all_for_teammeli #ایران #جام_جهانی_۲۰۱۸ #بورس #سهام #ده_درصد,1
row_52,عالیه ازهرلحاظ قدرتمنده ,1
row_53,کتاب خیلی خوبیه ولی متاسفانه طاقچه همه تصاویر کتاب رو حذف کرده. نویسنده بسیاری از مطالب نوروساینس رو با ارجاع به تصاویر توضیح داده.,0
row_54,خیلی جالبه الان که اینترنت تو ایران قطع شده رباتایی که از خارج هدایت میشدن انلاین نیست !! قابل توجه ماله کشا و اصلاح طلبا و حرومزاده ها! لعنت بهت جمهوری اسلامی #Iranprotets #TwitterBanKhamenei,1
row_55,"بعد از حادثه مکتب و کشته شدن کودکان چیزی که از همه آزار دهنده‌تر بود دیدن کامنت فیسبوک کسانی بود که از ای حادثه یا احساس رضایت داشتن یا به نحوی حادثه را توجیح میکردند.
یعنی یک انسان چقدر باید بی رحم و سنگدل باشه که از کشته شدن ده‌ها کودک احساس شادی کند.
 #StopHazaraGenocide",1
row_56,چرا روی جنس قیمت ۱۸۹۵۰ است ولی قیمت سایت ۲۴۹۵۰. است!!!!!,0
row_57,"چه زیبا باشد آیت الله رئیسی خادم امام هشتم
در هشتمین روز دهه کرامت ، هشتمین رئیس جمهور ایران شود و جشن میلاد با سعادت امام هشتم؏ و خادمش را باهم بگیریم ...

-به امید پیروزی✌️🏻
#کاندیدای_اجماع_ملی
#رئیسی",1
row_58,"صدای راوی افتضاحه
صدای بد و فاقد تکنیک گویندگی به طوریکه به زور می تونید گوش بدید ولی کتاب خوبی هست",0
row_59,"منطقت رو گاییدم #اخوند
#کرونا www.link.com",1
row_60,"New photo posted in سرمایه گذاری در مسکن و املاک تهران: '🔴🔴🔴
#فروش
۱۰۳متر
کف سنگ آنتیک
طبقه ۳
۲خواب
کمد دیواری
 نورگیر عالی
 بسیار خوش نقش
پارکینگ+ انباری
دسترسی عالی
کد:⏪s42291⏩
💰قیمت:850,000,000
📱۰۹۳۶۳۲۷۲۸۲۳آذرمهد
☎️۴۴۷۳۳۳۲۰املاک صدف
@username' www.link.com",1
row_61,با قیمت عالی از دیجیکالا خریدم.بسیار راضی هستم هم سبک و شیکه توصیه میکنم حتما بگیرید,1
row_62,"...بیشتر از ماسک #ویروس از طریق سطوح منتقل میشه(مثل سطح کت) یا مثلا اگر کسی به این اقا دست بده و بزنه ب صورتش (یا هرسطح مخاطی دیگ مثل چشم و...) ممکنه مبتلا بشه چرا که کرونا بین 2 تا 14 روز میتونه تو بدن فرد مبتلا مخفی بشه! نکته بعد امار دروغ 50 نفر کشته این فرد تو قمه...
(2/4)",1
row_63,"تحریم کنندگان #انتخابات هروقت متوجه شدین دموکراسی یعنی هرکس حق داره ازادنه در انتخابات شرکت کنه یا نکنه
بعد بیاین حرف بزنید
فعلا فحش میدین باریکلا",0
row_64,من گوشي رو تا روشن کردم پيام آپديت داد که نشون ميده ساپورت نرم افزاري خوبي هم داره .,1
row_65,سلام -درود بر شرف شما,1
row_66,سیب زمینی بیات بود مرغ بوی ضخم میداد اصلا راضی نبودم,0
row_67,یه دو روز سایه‌ام بالا سرتون نبودا، کارتون به دادگاه کشید؟!,0
row_68,سلام من اين پرينترو از يه نمايندگي  hp گرفتم و بدون گارانتي متاسفانه 3 ماه بعد از استفاده هدش سوخت و کلا دستگاه بدون استفاده شد ، هدش رو با کلي درد سر گير آوردم ولي قيمتش نصف قيمت دستگاه بود و از خريدش منصرف شدم و الان فقط اسکنش کار ميکنه پيشنهاد ميکنم پرينتر ليزري بخرين ممکن وقت خريد پول بيشتري رو پرداخت کنين ولي خيالتون از خيلي از جهات راحت ميشه.,0
row_69,"ماکه هرچی به این دوقلوها میگیم نزدیک هم نشید باز گوش نمیکنن انگار کش دارن ،جداشون میکنی باز میبینی بهم رسیدن.آخه یکیشون سرماخوردگی داره.
#همه_باهم_علیه_کرونا www.link.com",0
row_70,کاش مثل s5  ضد اب بود,0
row_71,#مهدی‌جان شب جمعه است، بیاحال مرا بهترکن فکر دلواپسیِ قلب منه مضطر کن این‌شب‌جمعه اگرمقصدتوکرببلاست نزد ارباب دعایی به منه نوکر کن ,0
row_72,درود به شرفتان که برای آزادی خودتان تلاش میکید #AlternativeIsPahlavi,1
row_73,ساخت ایران ولی خیلی خوبه ,1
row_74,من حدودا 2 ماه پیش این ادوتویلت را از دیجیکالا خریدم. از دیجیکالا متشکرم که بعد از 1 روز به بهترین شکل ممکن به من تحویل داد.  اما در مورد این ادوتویلت میتونم بگم که رایحه بسیار دلنشین و خاصی داره که نزدیک به هیچ یک از عطر های دیگه ای که میشناسم نیست،ولی متاسفانه پخش بو و ماندگاریش کمه حدود 3 ساعت,1
row_75,خیلی کتاب خوبیه,1
row_76,اگه هم pin رو روش فعال کرده باشي روزي يکي دو بار ازت pin رو ميخواد.,0
row_77,بله این خودکار نیس روان نویسه و خیلی هم روان نیس بعضی وقتها پررنگ میشه و جوهر میده,0
row_78,در مجنوع دستگاه خوب و پرسرعتیه ,1
row_79,امروز دستم رسید بعضی از دوستان میگفتن با دکمه زوم عکس میندازه برا من اینطوری نشد کیفیت هم خوبه طلاییش هم خیلی قشنگ تره طلایی بخرین ,1
row_80,معتادش ميشين و ديگه به نقصاش دقت نميکنين و مجبورين يا گوشي نخرين يا پولتونو بدين براي IPHONE,0
