id,sentiment,raw_text
row_0,1,همين امروز خيلي ناجور از دستم افتاد،  ولي مثل روز اول کار مي کنه!
row_1,1,واقعا خیلی خوبه ممنون طاقچه آدم موقع خوندن غرق داستان کتاب میشه واقعا قشنگه
row_2,0,حال اگر مالک قصد تهيه کيف براي گوشي داشته باشه کيفي خواهد داشت که از پشتي از دو ناحيه سوراخ است و نماي بسيار بدي ايجاد مي کند.
row_3,0,اصلا فیله مرغ نبود خیلى بد بود
row_4,1,اوه چه قدر نظر هههههههه
row_5,0,"آقای روحانی عصبانی شده از حرفهای مناظره و گفته باید با راستی و درستی با مردم صحبت کنیم!
و اما بخشی از راستی و درستی حسن روحانی:
- آنچنان درآمد سرشار و رونق اقتصادی درست کنم
-احترام را به پاسپورت ایرانی برمیگردانم
- تحریمها یکباره لغو میشوند
-همه چیز را به بورس بسپارید
#دوپینگ"
row_6,1,بهترین هات داگی که خوردم مال شیلا بوده عالیه
row_7,1,قشنگ بود
row_8,0,حیف که یک سری سفارش دادم!!!
row_9,1,"۳٫ پشتيباني کامل از سايه‌زني نسخه ۳ براي پردازش بازي‌هاي جديد

۴٫ قابليت پردازش ۴۸ ميليارد دستورالعمل سايه‌زني در ثانيه که توان پردازشي چشم‌گيري را در اجراي بازي‌ها به وجود مي‌آورد."
row_10,0,خیلی ناراضیم ازش همون اوایل دوبار فرستادمش برای تعمیر و هیچ وقت هم اساسی تعمیر نشد نمایندگی مجاز هم نتونست تعمیرش کنه هیچ وقت نخرید هیچ وقت 
row_11,1,پلی استیشن 4 پرو به همراه بازی Call Od Duty 
row_12,1,از کودکی به کرد و کردستان علاقه داشتم  از بس که فقط ازشون صفات و رفتار خوب دیدم و شنیدم  
row_13,1,سلام اقا فهمیدم . میدونین اون سایه ای که میوفته زمان ورود ب بازیاس و اون سایه همون نوار اعلانه ک تو بازی معلومه پس این مشگلی نداره . و اگرم چنین مشگلی ور دارین ب نمایندگی معتبر الجی برینو رایگان درستش کنین من این مطلبو از یه نفر پرسیدم ک ایا درسته این سایه و بهم نشونش داد . لذت ببرین از این موبایل
row_14,1,وافلش یکم سفت بودبا چاقو برش نمیخورد ولی خیلی خوشمزه بود بسته بندی تمیز و‌مرتب
row_15,1,دم‌تون گرم  
row_16,0,عزیزی که میگی از داغ کردن دستگاه خبری نیست ....کافیه دوماه با دستگاه کار کنید تا بفهمید بعد از دو ساعت کار کردن دستگاه داغ میکنه! اکثر تبلت های نسل جدید سامسونگ یکی دو ماه اول کارشون همینجورین اما بعدها دچار مشکل میشن!
row_17,1,سفارش دادم هنوز به دستم نرسیده با توجه به نقد بد نیست البته اگه دیجی کالا ارسال ش کنه نقد هم میزارم 
row_18,0,در صورتي که گوشي در يک جاي ثابت قرار بگيره و هيچ لرزشي نداشته باشه فيلهايي با روزولوشن 480×640 را مي تونيد ثبت کنيد که آدم رو ياد گوشهاي 2 مگاپيکسلي مي اندازد ولي اگر در حال حرکت فيلم برداري کنيد اونوقت اوضاع تغيير مي کند و فيلهاي گرفته شده تار مي شوند که قابل ديدن نيست.
row_19,1,بنابراین،  مایکروسافت کاربران را راحت نموده و نوید تایپ با صفحه کلید را بر روی این تبلت به کاربران داده است.
row_20,0,کاش دوربینش حداقل درحد p8 بود
row_21,0,"بادقت بخوانید
♦واکنش صریح رهبر انقلاب به فایل صوتی ظریف
🔹از برخی از مسئولان حرف هایی زده شده که مایه تاسف است.
رسانه های دشمن این حرف هارا پخش کردند.
بعضی از این حرف،تکرار حرف های خصمانه آمریکایی هاست.
🔹آمریکایی ها سال هااز شهید سلیمانی و نفوذ در منطقه ناراحت بودند
#صوت‌ظریف"
row_22,0,"طوری که شرکت ها و استارت آپ های ایرانی (#اسنپ_تریپ ) بحران کرونا رو مدیریت کردن (تعدیل و تعلیق حداکثری کارمنداشون) با تمام وجود بابت تک تک لحظاتی که براش وقت گذاشتی به خودت فحش میدی ...
این هم نحوه عبور از بحران به سبک Airbnb: نصف شدن حقوق مدیران ارشد
www.link.com"
row_23,0,به نظرم کیفیت خوبی ندارد من دو هفته است خریدم عملا بلا استفاده است  ارتباط 3 5 و 2 5 همراه آن هم اصلا کیفیت خوبی نداشت در اولین بار استفاده شکست  وبا چسب و   درستش کردیم  
row_24,0,وقتی که به گذشته می پردازید تنها کاری که انجام می دهید تجدید دیدار با بدبختی هاست. ویلیام_گلاسر
row_25,1,"صلح یک روزی آمدنی است، اگر چه دنیا نخواهد.
#StopAfghanWar https://t.co/WltEOPvJVq"
row_26,1,از نظر ابعاد و زیبایی عالیه لطفا هرچه زودتر موجودش کنید … 
row_27,1,من تقریبا یک هفته هست که این گوشی رو خریدم   در کل بد نیست ، از لحاظ ظاهری بی نظیره!!! شبیه اثر هنری میمونه اما به نظر میرسه در مقابل ضربه حساس و آسیب پذیر باشه . سرعت عملکرد گوشی خوبه اما نمی دونم چرا کل رم 3.5 گیگ نشودن داده شده که تازه 2 گیگ از اون هم همیشه مشغول هستش اما در عمل خیلی خوب و سریع کار می کنه ! در مورد دکمه هوم هم باید بگم که ، به نظر آسیب پذیر میرسه اما در واقع شما نیازی به این دکمه ندارید !! فوق فوقش آدم بخواد برنامه ای رو ببنده از دکمه بک یا اون یکی استفاده میکنه . کیفیت تصویر فوق العاده است و دوربین هم عالیه !!  در کل : از خرید این گوشی پشیمون نمی شید خیالتون راحت
row_28,0,"جهانگیری گفته شبی که رد صلاحیت شدم تو خونه مون جشن بوده،😅
برای جبران ۸ سال تنبلی وبی تدبیری لیبرالها و نجات کشور از تَکرار زجرآور افسادیون،من هم مثل تمام ایرانیهای وطن دوست،#رای_میدهم
#ما_منتظر_انتخاباتیم https://t.co/WtAQzG9Nf9"
row_29,0,وای فرزانه تو رو خدا میترسم. 
row_30,0,کتابای تخصصی دانشگا اینقد گرون نیسن که این گرونه .خاهشا تخفیف..
row_31,0,سایز بزرگ سفارش دادم ولی سایز متوسط بود نه بزرگ
row_32,1,من اين تبلت رو دارم واقعاً عاليه از نظر سرعت و باز شدن صفحات تکه  از نظر امنيت و وارد شدن بهش هم حرف نداره
row_33,0,من این سری رو از دیجی گرفتم 3تا از اونا رو استفاده کردم و هر سه تاش توی اولین استفاده خورد شد و کارم هم راه نیفتاد اصلا پیشنهاد نمیکنم بااینکه برند بوش هست و روی خودِ مته هم حک شده اما متاسفانه اصلا مرغوبیت نداره   
row_34,1,هزار سال است که دوستت دارم ، به تر و تازگیِ روز نخست ... #مخاطب_خاص
row_35,0,دليل من داغ شدن اون هست و البته داغ شدن سيستم بعد از حدود يک ساعت و خورده اي بازي !
row_36,1,سلام من سه هفته ای هست که این مدل رو خریدم برای انجام کارهای سبک و روزمره عالیه کم صداست و نسبت به قیمتش میارزه واقعا برای بازی هم جواب میده حتمن پیشنهاد میکنم 
row_37,1,دوربين 12 يون اصلا با خيلي از 8 مگاپيکسلي هاي موجود قابل مقايسه نيست، چه عکس چه فيلم!
row_38,1,"اگر خوب کار کرده باشیم، خداوند از جایی که فکرش را نمیکنیم رزق خوب به ما میدهد.
#من_رأی_میدهم https://t.co/m5EkmoK1pi"
